2022-02-01 10:09:06.100107 | info |  | STARTED...
2022-02-01 10:09:31.892457 | info |  | KEYWORD NOT DETECTED
2022-02-01 10:09:56.524985 | info |  | KEYWORD NOT DETECTED
2022-02-01 10:29:25.225398 | info |  | KEYWORD NOT DETECTED
2022-02-01 10:29:38.725174 | info |  | KEYWORD NOT DETECTED
2022-02-01 10:29:42.058850 | info |  | KEYWORD NOT DETECTED
2022-02-01 10:29:46.758024 | info |  | KEYWORD NOT DETECTED
2022-02-01 10:29:54.124846 | info |  | KEYWORD DETECTED
2022-02-01 10:30:15.858914 | info |  | "niks niks",'"De dingen die je aanraakt dansen in de schaduw. Water en beweging, het is een verhaal."',None,None
2022-02-01 10:38:18.291715 | info |  | KEYWORD NOT DETECTED
2022-02-01 11:32:43.258794 | info |  | KEYWORD NOT DETECTED
2022-02-01 11:33:14.191967 | info |  | KEYWORD NOT DETECTED
2022-02-01 12:07:59.158351 | info |  | KEYWORD NOT DETECTED
2022-02-01 12:59:37.892230 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:00:10.058183 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:00:14.791596 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:00:28.058062 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:00:37.625296 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:00:51.858337 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:01:43.857976 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:03:19.625173 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:03:56.924853 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:04:00.424725 | info |  | KEYWORD DETECTED
2022-02-01 13:04:22.324794 | info |  | "Wil je me vertellen Je moeder is een",'Grootmoedige kelpstukken en huilende spiralen in bezinksel ondergaan blijdschap omdat ze talrijk zijn. Het is met geen atoom te beschrijven.',None,None
2022-02-01 13:26:44.092133 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:26:54.225219 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:26:58.024919 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:02.458705 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:06.058182 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:09.525528 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:13.958938 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:17.658063 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:22.058652 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:25.892267 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:30.291750 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:34.691901 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:39.324675 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:43.225196 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:46.857979 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:52.025408 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:27:55.824679 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:28:00.491564 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:28:04.258610 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:30:08.491736 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:30:11.858415 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:30:16.458564 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:30:20.891881 | info |  | KEYWORD DETECTED
2022-02-01 13:30:54.392007 | info |  | "Hallo Noordzee Hoeveel vissen leeft in UMC",'Heimwee naar haringen en walvissen in grote scholen. Help te vinden!',None,None
2022-02-01 13:31:44.892151 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:31:48.291700 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:31:52.424722 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:46:06.724918 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:46:20.324617 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:46:39.225214 | info |  | KEYWORD DETECTED
2022-02-01 13:47:01.758961 | info |  | "dat ik van je hou en hoop dat je heel lang schoon blijft",'"Grote tevreden, zee is van zichzelf en laaft zich aan iedereen"',0,0
2022-02-01 13:49:30.091395 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:49:35.158493 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:49:38.958516 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:49:42.591531 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:49:46.058134 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:49:51.258157 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:07.058205 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:13.192268 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:18.825272 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:38.191875 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:42.592081 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:46.125380 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:50:49.558121 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:00.958417 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:04.525061 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:08.825123 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:13.758035 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:27.191579 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:31.925003 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:41.325057 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:45.892114 | info |  | KEYWORD NOT DETECTED
2022-02-01 13:51:55.058039 | info |  | KEYWORD NOT DETECTED
